time,SiteName,tax,Year,n,nCheck,modMedian,modMean,modci90lo,modci90up,text
2,Semaphore Reef,Invert,2018,6000,6000,3,3.6508333333333334,1,8,3 (1 to 8)
2,Shag Rock Carrickalinga,Fish,2018,6000,6000,14.5,14.855166666666667,8,23,14.5 (8 to 23)
2,Shag Rock Carrickalinga,Invert,2018,6000,6000,8,7.992333333333334,3,14,8 (3 to 14)
2,South Shores,Fish,2018,6000,6000,10,10.792666666666667,5,18,10 (5 to 18)
2,South Shores,Invert,2018,6000,6000,4,4.015833333333333,1,9,4 (1 to 9)
2,Southport,Fish,2018,6000,6000,7,7.7165,3,14,7 (3 to 14)
2,Southport,Invert,2018,6000,6000,6,5.882666666666666,2,11,6 (2 to 11)
2,The Bluff,Fish,2018,6000,6000,9,9.557,4,16,9 (4 to 16)
2,The Bluff,Invert,2018,6000,6000,11,11.3275,5,19,11 (5 to 19)
2,West Island Outer,Fish,2018,6000,6000,9,8.885,4,15,9 (4 to 15)
2,West Island Outer,Invert,2018,6000,6000,6,6.770666666666667,2,12,6 (2 to 12)
2,Whalebone,Fish,2018,6000,6000,16,16.0855,8,25,16 (8 to 25)
2,Whalebone,Invert,2018,6000,6000,13,13.163666666666666,6,21,13 (6 to 21)
2,Yankalilla Mouth,Fish,2018,6000,6000,2,2.706,0,6,2 (0 to 6)
2,Yankalilla Mouth,Invert,2018,6000,6000,1,1.1026666666666667,0,4,1 (0 to 4)
