bmBFishSubregion,GSiteID,SurveyID,TransectID,LocalBlock,SurveyDate,SiteName,Subregion,Sanctuary,ind,Year,medYear,time
6164.1827175,1,1,1,1,2005-03-08T00:00:00Z,Carrickalinga South Bay,4,Outside,12,2005,2016,-11
544.3657866666666,1,1,2,1,2005-03-08T00:00:00Z,Carrickalinga South Bay,4,Outside,15,2005,2016,-11
393.96798181818184,1,1,3,1,2005-03-08T00:00:00Z,Carrickalinga South Bay,4,Outside,11,2005,2016,-11
453.958902,1,1,4,1,2005-03-08T00:00:00Z,Carrickalinga South Bay,4,Outside,15,2005,2016,-11
88.317045,1,2,5,1,2006-02-23T00:00:00Z,Carrickalinga South Bay,4,Outside,6,2006,2016,-10
292.7337983333333,1,2,6,1,2006-02-23T00:00:00Z,Carrickalinga South Bay,4,Outside,6,2006,2016,-10
259.39346333333333,1,2,7,1,2006-02-23T00:00:00Z,Carrickalinga South Bay,4,Outside,3,2006,2016,-10
276.1314852941176,1,2,8,1,2006-02-23T00:00:00Z,Carrickalinga South Bay,4,Outside,17,2006,2016,-10
538.803676,1,3,9,1,2007-03-01T00:00:00Z,Carrickalinga South Bay,4,Outside,10,2007,2016,-9
450.04734588235294,1,3,10,1,2007-03-01T00:00:00Z,Carrickalinga South Bay,4,Outside,17,2007,2016,-9
250.40096357142858,1,3,11,1,2007-03-01T00:00:00Z,Carrickalinga South Bay,4,Outside,14,2007,2016,-9
503.3338142857143,1,4,13,1,2008-02-05T00:00:00Z,Carrickalinga South Bay,4,Outside,7,2008,2016,-8
706.0569111111112,1,4,14,1,2008-02-05T00:00:00Z,Carrickalinga South Bay,4,Outside,9,2008,2016,-8
399.73937,1,4,15,1,2008-02-05T00:00:00Z,Carrickalinga South Bay,4,Outside,10,2008,2016,-8
411.97074999999995,1,5,16,1,2012-11-23T00:00:00Z,Carrickalinga South Bay,4,Outside,2,2012,2016,-4
596.967276923077,1,5,17,1,2012-11-23T00:00:00Z,Carrickalinga South Bay,4,Outside,13,2012,2016,-4
365.8082,1,5,18,1,2012-11-23T00:00:00Z,Carrickalinga South Bay,4,Outside,8,2012,2016,-4
2849.6644285714283,1,5,19,1,2012-11-23T00:00:00Z,Carrickalinga South Bay,4,Outside,14,2012,2016,-4
404.75784999999996,1,6,20,1,2013-04-12T00:00:00Z,Carrickalinga South Bay,4,Outside,10,2013,2016,-3
476.45973333333336,1,6,21,1,2013-04-12T00:00:00Z,Carrickalinga South Bay,4,Outside,9,2013,2016,-3
775.7769285714286,1,6,22,1,2013-04-12T00:00:00Z,Carrickalinga South Bay,4,Outside,21,2013,2016,-3
475.38598333333334,1,6,23,1,2013-04-12T00:00:00Z,Carrickalinga South Bay,4,Outside,18,2013,2016,-3
867.6094166666667,1,7,24,1,2014-01-21T00:00:00Z,Carrickalinga South Bay,4,Outside,6,2014,2016,-2
527.1278599999999,1,7,25,1,2014-01-21T00:00:00Z,Carrickalinga South Bay,4,Outside,10,2014,2016,-2
446.09785,1,8,26,1,2016-02-09T00:00:00Z,Carrickalinga South Bay,4,Outside,6,2016,2016,0
368.0510875,1,8,27,1,2016-02-09T00:00:00Z,Carrickalinga South Bay,4,Outside,8,2016,2016,0
257.7175875,1,8,28,1,2016-02-09T00:00:00Z,Carrickalinga South Bay,4,Outside,8,2016,2016,0
492.1476333333333,1,8,29,1,2016-02-09T00:00:00Z,Carrickalinga South Bay,4,Outside,12,2016,2016,0
721.4829615384616,1,9,30,1,2017-03-07T00:00:00Z,Carrickalinga South Bay,4,Outside,13,2017,2016,1
608.0209117647059,1,9,31,1,2017-03-07T00:00:00Z,Carrickalinga South Bay,4,Outside,17,2017,2016,1
1318.1145187500001,1,9,32,1,2017-03-07T00:00:00Z,Carrickalinga South Bay,4,Outside,16,2017,2016,1
532.8720833333333,1,9,33,1,2017-03-07T00:00:00Z,Carrickalinga South Bay,4,Outside,6,2017,2016,1
1696.7423111111111,1,10,34,1,2018-03-07T00:00:00Z,Carrickalinga South Bay,4,Outside,9,2018,2016,2
922.9534714285714,1,10,35,1,2018-03-07T00:00:00Z,Carrickalinga South Bay,4,Outside,7,2018,2016,2
2860.0411363636363,1,10,36,1,2018-03-07T00:00:00Z,Carrickalinga South Bay,4,Outside,22,2018,2016,2
3299.125925,1,10,37,1,2018-03-07T00:00:00Z,Carrickalinga South Bay,4,Outside,8,2018,2016,2
4272.07289,3,18,61,1,2005-03-08T00:00:00Z,Carrickalinga Head,4,Inside,20,2005,2016,-11
2742.5852860869563,3,18,62,1,2005-03-08T00:00:00Z,Carrickalinga Head,4,Inside,23,2005,2016,-11
426.2132475,3,18,63,1,2005-03-08T00:00:00Z,Carrickalinga Head,4,Inside,12,2005,2016,-11
189.4569446153846,3,19,65,1,2006-03-20T00:00:00Z,Carrickalinga Head,4,Inside,13,2006,2016,-10
366.63960235294115,3,19,66,1,2006-03-20T00:00:00Z,Carrickalinga Head,4,Inside,17,2006,2016,-10
486.5009661111111,3,19,67,1,2006-03-20T00:00:00Z,Carrickalinga Head,4,Inside,18,2006,2016,-10
476.82591739130436,3,19,68,1,2006-03-20T00:00:00Z,Carrickalinga Head,4,Inside,23,2006,2016,-10
813.4076176470588,3,20,69,1,2007-02-22T00:00:00Z,Carrickalinga Head,4,Inside,17,2007,2016,-9
737.5894992592592,3,20,70,1,2007-02-22T00:00:00Z,Carrickalinga Head,4,Inside,27,2007,2016,-9
2366.450007916667,3,20,71,1,2007-02-22T00:00:00Z,Carrickalinga Head,4,Inside,24,2007,2016,-9
