residual,propMAlgae,time,SiteName,standResid
0.03524584436102007,0.99,-0.5,Carrickalinga South Bay,2.730131364664984
0.015245844361020056,0.97,-0.5,Carrickalinga South Bay,1.1809380261820175
0.025245844361020064,0.98,-0.5,Carrickalinga South Bay,1.955534695423501
0.005245844361020047,0.96,-0.5,Carrickalinga South Bay,0.4063413569405342
0.0021986863887681896,0.89,0.5,Carrickalinga South Bay,0.02817054326751722
0.09219868638876816,0.98,0.5,Carrickalinga South Bay,1.1812903820167688
-0.09780131361123179,0.79,0.5,Carrickalinga South Bay,-1.253073722009429
-0.017801313611231828,0.87,0.5,Carrickalinga South Bay,-0.22807830978787233
-0.016919921899688273,0.93,0.5,Carrickalinga Head,-0.3453764595164909
0.04308007810031167,0.99,0.5,Carrickalinga Head,0.8793684118750975
-0.05691992189968831,0.89,0.5,Carrickalinga Head,-1.161873040444218
0.04308007810031167,0.99,0.5,Carrickalinga Head,0.8793684118750975
-0.0058035125158152345,0.78,-0.5,Carrickalinga Head,-0.025740479387650245
-0.35580351251581527,0.43,-0.5,Carrickalinga Head,-1.5781051483922532
0.09419648748418474,0.88,-0.5,Carrickalinga Head,0.4177922831850933
0.1441964874841848,0.93,-0.5,Carrickalinga Head,0.6395586644714654
-0.008253246556029326,0.79,-0.5,Dodd's Beach,-0.24979273004402847
-0.008253246556029326,0.79,-0.5,Dodd's Beach,-0.24979273004402847
0.011746753443970692,0.81,-0.5,Dodd's Beach,0.3555271967223545
0.061746753443970626,0.86,-0.5,Dodd's Beach,1.8688270136383087
0.10684457249606416,0.97,0.5,Dodd's Beach,0.7978512967588507
0.05684457249606423,0.92,0.5,Dodd's Beach,0.42448123306738894
-0.19315542750393577,0.67,0.5,Dodd's Beach,-1.4423690853899225
-0.06315542750393577,0.8,0.5,Dodd's Beach,-0.47160691979212055
-0.02561882148844441,0.94,-0.5,Outside Granite Island,-0.9798586137913019
0.004381178511555617,0.97,-0.5,Outside Granite Island,0.16756959351317122
0.024381178511555635,0.99,-0.5,Outside Granite Island,0.9325217317161533
0.03338117851155564,0.999,-0.5,Outside Granite Island,1.2767501939074952
0.06687804770855987,0.98,0.5,Outside Granite Island,1.170122084853439
-0.013121952291440087,0.9,0.5,Outside Granite Island,-0.22958633959409086
-0.06312195229144013,0.85,0.5,Outside Granite Island,-1.1044041048737983
0.03687804770855985,0.95,0.5,Outside Granite Island,0.6452314256856146
-0.035009012411194695,0.8585858585858586,-0.5,West Island,-0.3305186052343016
0.04640512900294669,0.94,-0.5,West Island,0.4381088599022371
0.08640512900294672,0.98,-0.5,West Island,0.815747167835326
-0.15359487099705327,0.74,-0.5,West Island,-1.4500826797632056
0.011032893661724663,0.92,0.5,West Island,0.11461135888136094
-0.14896710633827537,0.76,0.5,West Island,-1.5474927076733043
0.08103289366172461,0.99,0.5,West Island,0.8417818879990263
-0.018967106338275364,0.89,0.5,West Island,-0.197033153597639
0.04781030332570013,0.99,-0.5,Newland Head,0.3402911925944487
0.04781030332570013,0.99,-0.5,Newland Head,0.3402911925944487
-0.23921939964459693,0.7029702970297029,-0.5,Newland Head,-1.70265087511021
0.027810303325700114,0.97,-0.5,Newland Head,0.19794062423420672
0.019243534200665713,0.999,0.5,Newland Head,1.3271402897010824
-0.009756465799334313,0.97,0.5,Newland Head,-0.6728597102989176
0.019243534200665713,0.999,0.5,Newland Head,1.3271402897010824
0.019243534200665713,0.999,0.5,Newland Head,1.3271402897010824
0.008740722152269065,0.99,-0.5,Flat irons,1.942382700504235
0.017740722152269073,0.999,-0.5,Flat irons,3.942382700504235
0.017740722152269073,0.999,-0.5,Flat irons,3.942382700504235
0.017740722152269073,0.999,-0.5,Flat irons,3.942382700504235
0.026244358922526856,0.99,0.5,Flat irons,2.6244358922526834
0.026244358922526856,0.99,0.5,Flat irons,2.6244358922526834
0.006244358922526838,0.97,0.5,Flat irons,0.6244358922526833
0.026244358922526856,0.99,0.5,Flat irons,2.6244358922526834
0.011290410941442786,0.98,-0.5,The Bluff,0.6744300907322458
0.030290410941442802,0.999,-0.5,The Bluff,1.8093907038022936
-0.008709589058557232,0.96,-0.5,The Bluff,-0.520265291446752
0.021290410941442794,0.99,-0.5,The Bluff,1.2717777818217446
-0.03003214556836331,0.89,0.5,The Bluff,-0.9380466301995063
0.03996785443163664,0.96,0.5,The Bluff,1.2483860362409789
0.02996785443163663,0.95,0.5,The Bluff,0.9360385124637662
0.02996785443163663,0.95,0.5,The Bluff,0.9360385124637662
-0.02310602158569086,0.74,-0.5,Ripple Rock,-0.2404617024495884
-0.12310602158569084,0.64,-0.5,Ripple Rock,-1.2811501721535288
0.08689397841430913,0.85,-0.5,Ripple Rock,0.904295614224746
0.06689397841430911,0.83,-0.5,Ripple Rock,0.6961579202839577
0.05369262529591168,0.98,0.5,Ripple Rock,1.0207895617302978
0.013692625295911642,0.94,0.5,Ripple Rock,0.26032046110092344
-0.06630737470408832,0.86,0.5,Ripple Rock,-1.260617740157823
0.03369262529591166,0.96,0.5,Ripple Rock,0.6405550114156106
-0.18034818542819575,0.51,-0.5,Shag Rock,-1.291776230969379
-0.04034818542819574,0.65,-0.5,Shag Rock,-0.28900111623046976
0.06965181457180425,0.76,-0.5,Shag Rock,0.4988936167786731
0.1396518145718042,0.83,-0.5,Shag Rock,1.0002811741481272
-0.026842523170742427,0.77,0.5,Shag Rock,-0.40934464076580346
0.06315747682925754,0.86,0.5,Shag Rock,0.963142492227638
-0.06684252317074246,0.73,0.5,Shag Rock,-1.0193389220962226
