time,Year,SiteName,n,nCheck,modMedian,modMean,modci90lo,modci90up,ci,text
0.5,2018,Carrickalinga North 3,4e3,4e3,0.85,0.83,0.64,0.97,0.33,0.33 (0.64 to 0.97)
0.5,2018,Carrickalinga South Bay,4e3,4e3,0.91,0.89,0.72,0.99,0.27,0.27 (0.72 to 0.99)
0.5,2018,Chiton Rocks,4e3,4e3,0.57,0.57,0.33,0.79,0.47,0.47 (0.33 to 0.79)
0.5,2018,Deep Creek,4e3,4e3,0.94,0.92,0.78,1,0.22,0.22 (0.78 to 1)
0.5,2018,Dodd's Beach,4e3,4e3,0.88,0.86,0.68,0.98,0.3,0.3 (0.68 to 0.98)
0.5,2018,Encounter Deep,4e3,4e3,0.98,0.96,0.84,1,0.16,0.16 (0.84 to 1)
0.5,2018,Fishery Beach,4e3,4e3,0.89,0.87,0.69,0.99,0.3,0.3 (0.69 to 0.99)
0.5,2018,Flat irons,4e3,4e3,0.98,0.96,0.85,1,0.15,0.15 (0.85 to 1)
0.5,2018,Horseshoe inner,4e3,4e3,0.76,0.74,0.51,0.92,0.41,0.41 (0.51 to 0.92)
0.5,2018,Lady Bay,4e3,4e3,0.83,0.81,0.61,0.96,0.35,0.35 (0.61 to 0.96)
0.5,2018,Moana outside,4e3,4e3,0.99,0.97,0.86,1,0.14,0.14 (0.86 to 1)
0.5,2018,Myponga,4e3,4e3,0.56,0.56,0.32,0.78,0.47,0.47 (0.32 to 0.78)
0.5,2018,Newland Head,4e3,4e3,1,0.98,0.9,1,0.1,0.1 (0.9 to 1)
0.5,2018,Noarlunga North Outside,4e3,4e3,0.56,0.56,0.32,0.79,0.47,0.47 (0.32 to 0.79)
0.5,2018,Noarlunga South Outside,4e3,4e3,0.34,0.35,0.14,0.59,0.45,0.45 (0.14 to 0.59)
0.5,2018,Normanville Beach,4e3,4e3,0.96,0.94,0.8,1,0.2,0.2 (0.8 to 1)
0.5,2018,Olivers Reef,4e3,4e3,0.9,0.88,0.7,0.99,0.29,0.29 (0.7 to 0.99)
0.5,2018,Outside Granite Island,4e3,4e3,0.93,0.91,0.75,1,0.25,0.25 (0.75 to 1)
0.5,2018,Porpoise Head,4e3,4e3,0.93,0.91,0.75,1,0.24,0.24 (0.75 to 1)
0.5,2018,Port Elliot Deep,4e3,4e3,0.94,0.92,0.76,1,0.23,0.23 (0.76 to 1)
0.5,2018,Port Gawler,4e3,4e3,0.58,0.58,0.34,0.81,0.47,0.47 (0.34 to 0.81)
0.5,2018,Port Parham,4e3,4e3,0.4,0.41,0.18,0.65,0.47,0.47 (0.18 to 0.65)
0.5,2018,Rapid Bay Jetty,4e3,4e3,0.23,0.24,0.08,0.45,0.37,0.37 (0.08 to 0.45)
0.5,2018,Rapid Head East,4e3,4e3,0.96,0.94,0.8,1,0.2,0.2 (0.8 to 1)
0.5,2018,Rapid Head Windmills,4e3,4e3,0.84,0.82,0.61,0.96,0.35,0.35 (0.61 to 0.96)
0.5,2018,Ripple Rock,4e3,4e3,0.94,0.92,0.78,1,0.22,0.22 (0.78 to 1)
0.5,2018,Seacliff,4e3,4e3,0.63,0.62,0.38,0.84,0.46,0.46 (0.38 to 0.84)
0.5,2018,Semaphore,4e3,4e3,0.82,0.81,0.6,0.96,0.36,0.36 (0.6 to 0.96)
0.5,2018,Shag Rock,4e3,4e3,0.81,0.79,0.58,0.95,0.37,0.37 (0.58 to 0.95)
0.5,2018,South Shores,4e3,4e3,0.78,0.76,0.54,0.93,0.39,0.39 (0.54 to 0.93)
0.5,2018,Southport,4e3,4e3,0.38,0.38,0.16,0.62,0.45,0.45 (0.16 to 0.62)
0.5,2018,The Bluff,4e3,4e3,0.94,0.91,0.76,1,0.24,0.24 (0.76 to 1)
0.5,2018,West Island,4e3,4e3,0.92,0.9,0.74,0.99,0.25,0.25 (0.74 to 0.99)
0.5,2018,Whalebone Reef,4e3,4e3,0.93,0.91,0.75,0.99,0.24,0.24 (0.75 to 0.99)
0.5,2018,Yankalilla Mouth,4e3,4e3,0.65,0.65,0.41,0.86,0.44,0.44 (0.41 to 0.86)
