time,Year,SiteName,n,nCheck,modMedian,modMean,modci90lo,modci90up,text
-11,2005,Carrickalinga Head,4000,4000,444.6682420063901,609.2480769769907,61.4743109400276,1716.4943299318263,444.7 (61.5 to 1716.5)
-11,2005,Carrickalinga South Bay,4000,4000,408.83033082168583,553.4066306348009,53.50259178674779,1558.8737088241267,408.8 (53.5 to 1558.9)
-11,2005,Dodd's Beach,4000,4000,378.1706366353896,514.2066487263055,49.61143573001732,1455.1991588798246,378.2 (49.6 to 1455.2)
-11,2005,Flat Irons,4000,4000,674.8321213856034,913.2984607323796,95.49870634216138,2535.418013662434,674.8 (95.5 to 2535.4)
-11,2005,Newland Head,4000,4000,633.8700050685007,894.9103816378382,77.24045929670329,2612.9988001018437,633.9 (77.2 to 2613)
-11,2005,Outside Granite Island,4000,4000,330.30114828313583,450.2626607443464,43.34310889263865,1287.098736771283,330.3 (43.3 to 1287.1)
-11,2005,Rapid Head Windmill,4000,4000,297.5866343801144,416.02183987662823,39.83186221795686,1179.214721954875,297.6 (39.8 to 1179.2)
-11,2005,Ripple Rock,4000,4000,701.2630562855284,1989.0698987502515,48.96048592215924,7645.223152757993,701.3 (49 to 7645.2)
-11,2005,Shag Rock Carrickalinga,4000,4000,0.8587431971530264,401.89093972524023,0.0026394897152796134,363.6174338829296,0.9 (0 to 363.6)
-11,2005,The Bluff,4000,4000,252.20675490528367,354.6507512140183,34.93230886380319,1000.3302156480142,252.2 (34.9 to 1000.3)
-11,2005,West Island Outer,4000,4000,396.7074044374062,579.7459620519672,53.54174539664899,1672.443759794261,396.7 (53.5 to 1672.4)
-10,2006,Carrickalinga Head,4000,4000,461.12874076154765,636.634921537342,60.83308196132232,1771.3742027379697,461.1 (60.8 to 1771.4)
-10,2006,Carrickalinga South Bay,4000,4000,423.64020838458794,573.5404699314319,55.50663561821066,1601.2457790378876,423.6 (55.5 to 1601.2)
-10,2006,Dodd's Beach,4000,4000,394.43190286885,530.7986636677874,53.48284214333916,1495.3338177533394,394.4 (53.5 to 1495.3)
-10,2006,Outside Granite Island,4000,4000,342.9341597847486,473.98356308509017,49.11292906028785,1351.6530038509125,342.9 (49.1 to 1351.7)
