CAABcode,COMMON NAME,Max length ,Family,Genus,Species
37384040,Southern Maori Wrasse,400,Labridae,Ophthalmolepis,lineolatus
37384057,Foxfish,480,Labridae,Bodianus,frenchii
37384105,Snakeskin Wrasse,130,Labridae,Eupetrichthys,angustipes
37385001,Herring Cale,400,Odacidae,Olisthops,cyanomelas
37385004,Slender Weed Whiting,140,Odacidae,Siphonognathus,attenuatus
37385005,Little Weed Whiting,160,Odacidae,Neoodax,balteatus
37385006,Pencil Weed Whiting,140,Odacidae,Siphonognathus,beddomei
37385009,Blue Weed-whiting,400,Odacidae,Haletta,semifasciata
37385010,Rainbow Cale,300,Odacidae,Heteroscarus,acroptilus
37385011,Sharpnose Weed Whiting,120,Odacidae,Siphonognathus,caninis
37385012,Longtail Weed Whiting,130,Odacidae,Siphonognathus,tanyourus
37385905,Weed Whiting,250,Odacidae,Siphonognathus,sp
37390002,Spotted Grubfish,200,Pinguipedidae,Parapercis,ramsayi
37390004,Wavy Grubfish,120,Pinguipedidae,Parapercis,haackei
37415015,Blackthroat Threefin,65,Tripterygiidae,Helcogramma,decurrens
37439001,Barracouta,2000,Gempylidae,Thyrsites,atun
37465001,Spinytail Leatherjacket,460,Monacanthidae,Acanthaluteres,brownii
37465002,Toothbrush Leatherjacket,320,Monacanthidae,Acanthaluteres,vittiger
37465003,Mosaic Leatherjacket,600,Monacanthidae,Eubalichthys,mosaicus
37465004,Horseshoe Leatherjacket,600,Monacanthidae,Meuschenia,hippocrepis
37465005,Velvet Leatherjacket,310,Monacanthidae,Meuschenia,scaber
37465007,Rough Leatherjacket,300,Monacanthidae,Scobinichthys,granulatus
37465008,Brownstriped Leatherjacket,320,Monacanthidae,Meuschenia,australis
37465025,Southern Pygmy Leatherjacket,90,Monacanthidae,Brachaluteres,jacksonianus
37465034,Gunn's Leatherjacket,600,Monacanthidae,Eubalichthys,gunnii
37465035,Yellowstriped Leatherjacket,300,Monacanthidae,Meuschenia,flavolineata
37465036,Sixspine Leatherjacket,550,Monacanthidae,Meuschenia,freycineti
37465037,Bluefin Leatherjacket,290,Monacanthidae,Thamnaconus,degeni
37465040,Bluelined Leatherjacket,350,Monacanthidae,Meuschenia,galii
37465043,Bridled Leatherjacket,140,Monacanthidae,Acanthaluteres,spilomelanurus
37465055,Bluetail Leatherjacket,420,Monacanthidae,Eubalichthys,cyanoura
37465060,Stars-and-stripes Leatherjacket,210,Monacanthidae,Meuschenia,venusta
37465902,Leatherjacket,600,Monacanthidae,Meuschenia,sp
37465903,Leatherjacket,NA,Monacanthidae,NA,sp
37465903,Leatherjacket,NA,Monacanthidae,MONACANTHIDAE,sp
37465905,Leatherjacket (Acanthaluteres),600,Monacanthidae,Acanthaluteres,sp
37466001,Ornate Cowfish,150,Ostraciidae,Aracana,ornata
37466003,Shaw's Cowfish,200,Ostraciidae,Aracana,aurita
37466015,Western Smooth Boxfish,300,Ostraciidae,Anoplocapros,amygdaloides
37466903,Cowfish,200,Ostraciidae,Aracana,sp
37467002,Ringed Toadfish,250,Tetraodontidae,Omegophora,armilla
37467048,Bluespotted Toadfish,180,Tetraodontidae,Omegophora,cyanopunctata
37469001,Globefish,400,Diodontidae,Diodon,nicthemerus
37990078,Fish unknown,NA,NA,Fish,sp
37990078,Fish unknown,NA,NA,Fish,unk
40048003,Black faced cormorant,NA,Phalacrocoracidae,Phalacrocorax,fuscescens
41116019,Common Bottlenose dolphin,NA,Delphinidae,Tursiops,truncatus
