key,Rank,Taxa,originalName,Kingdom,Phylum,Class,Order,Family,Genus,Species,scientificName,canonicalName,Status,Confidence,Match,Stamp
2290435,SPECIES,Sepioteuthis australis,Sepioteuthis australis,Animalia,Mollusca,Cephalopoda,Myopsida,Loliginidae,Sepioteuthis,Sepioteuthis australis,"Sepioteuthis australis Quoy & Gaimard, 1833",Sepioteuthis australis,ACCEPTED,100,EXACT,2019-02-04T16:35:13Z
2290197,GENUS,Sepioteuthis,Sepioteuthis spp.,Animalia,Mollusca,Cephalopoda,Myopsida,Loliginidae,Sepioteuthis,NA,"Sepioteuthis de Blainville, 1824",Sepioteuthis,ACCEPTED,85,EXACT,2019-02-04T16:35:13Z
5961708,SPECIES,Seriola lalandi,Seriola lalandi,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Seriola,Seriola lalandi,"Seriola lalandi Valenciennes, 1833",Seriola lalandi,ACCEPTED,100,EXACT,2019-02-04T16:35:14Z
1,KINGDOM,Animalia,Sillaginid spp.,Animalia,NA,NA,NA,NA,NA,NA,Animalia,Animalia,ACCEPTED,99,HIGHERRANK,2019-02-04T16:35:14Z
2391982,SPECIES,Sillaginodes punctatus,Sillaginodes punctatus,Animalia,Chordata,Actinopterygii,Perciformes,Sillaginidae,Sillaginodes,Sillaginodes punctatus,"Sillaginodes punctatus (Cuvier, 1829)",Sillaginodes punctatus,ACCEPTED,100,EXACT,2019-02-04T16:35:15Z
2397498,SPECIES,Siphamia cephalotes,Siphamia cephalotes,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,Siphamia,Siphamia cephalotes,"Siphamia cephalotes (Castelnau, 1875)",Siphamia cephalotes,ACCEPTED,100,EXACT,2019-02-04T16:35:15Z
5210078,SPECIES,Siphonognathus attenuatus,Siphonognathus attenuatus,Animalia,Chordata,Actinopterygii,Perciformes,Odacidae,Siphonognathus,Siphonognathus attenuatus,"Siphonognathus attenuatus (Ogilby, 1897)",Siphonognathus attenuatus,ACCEPTED,100,EXACT,2019-02-04T16:35:16Z
5210076,SPECIES,Siphonognathus beddomei,Siphonognathus beddomei,Animalia,Chordata,Actinopterygii,Perciformes,Odacidae,Siphonognathus,Siphonognathus beddomei,"Siphonognathus beddomei (Johnston, 1885)",Siphonognathus beddomei,ACCEPTED,100,EXACT,2019-02-04T16:35:16Z
5210080,SPECIES,Siphonognathus caninis,Siphonognathus caninis,Animalia,Chordata,Actinopterygii,Perciformes,Odacidae,Siphonognathus,Siphonognathus caninis,"Siphonognathus caninis (Scott, 1976)",Siphonognathus caninis,ACCEPTED,100,EXACT,2019-02-04T16:35:17Z
5210079,SPECIES,Siphonognathus radiatus,Siphonognathus radiatus,Animalia,Chordata,Actinopterygii,Perciformes,Odacidae,Siphonognathus,Siphonognathus radiatus,"Siphonognathus radiatus (Quoy & Gaimard, 1834)",Siphonognathus radiatus,ACCEPTED,100,EXACT,2019-02-04T16:35:17Z
2274119,SPECIES,Smilasterias irregularis,Smilasterias irregularis,Animalia,Echinodermata,Asteroidea,Forcipulatida,Stichasteridae,Smilasterias,Smilasterias irregularis,"Smilasterias irregularis H.L.Clark, 1928",Smilasterias irregularis,ACCEPTED,100,EXACT,2019-02-04T16:35:18Z
2394253,SPECIES,Sphyraena novaehollandiae,Sphyraena novaehollandiae,Animalia,Chordata,Actinopterygii,Perciformes,Sphyraenidae,Sphyraena,Sphyraena novaehollandiae,"Sphyraena novaehollandiae Günther, 1860",Sphyraena novaehollandiae,ACCEPTED,100,EXACT,2019-02-04T16:35:18Z
4343248,SPECIES,Stichopus ludwigi,Stichopus ludwigi,Animalia,Echinodermata,Holothuroidea,Synallactida,Stichopodidae,Stichopus,Stichopus ludwigi,"Stichopus ludwigi Erwe, 1913",Stichopus ludwigi,ACCEPTED,100,EXACT,2019-02-04T16:35:19Z
2332642,GENUS,Stigmatopora,Stigmatopora spp.,Animalia,Chordata,Actinopterygii,Syngnathiformes,Syngnathidae,Stigmatopora,NA,"Stigmatopora Kaup, 1853",Stigmatopora,ACCEPTED,83,EXACT,2019-02-04T16:35:19Z
4311919,SPECIES,Strigopagurus strigimanus,Strigopagurus strigimanus,Animalia,Arthropoda,Malacostraca,Decapoda,Diogenidae,Strigopagurus,Strigopagurus strigimanus,"Strigopagurus strigimanus (White, 1847)",Strigopagurus strigimanus,ACCEPTED,100,EXACT,2019-02-04T16:35:19Z
2417568,SPECIES,Sutorectus tentaculatus,Sutorectus tentaculatus,Animalia,Chordata,Elasmobranchii,Orectolobiformes,Orectolobidae,Sutorectus,Sutorectus tentaculatus,"Sutorectus tentaculatus (Peters, 1864)",Sutorectus tentaculatus,ACCEPTED,100,EXACT,2019-02-04T16:35:20Z
2407627,SPECIES,Tetractenos glaber,Tetractenos glaber,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,Tetractenos,Tetractenos glaber,"Tetractenos glaber (Fréminville, 1813)",Tetractenos glaber,ACCEPTED,100,EXACT,2019-02-04T16:35:20Z
5961802,SPECIES,Chironemus maculosus,Threpterius maculosus,Animalia,Chordata,Actinopterygii,Perciformes,Chironemidae,Chironemus,Chironemus maculosus,"Chironemus maculosus (Richardson, 1850)",Chironemus maculosus,ACCEPTED,NA,Synonym,2019-02-04T16:35:21Z
5721426,SPECIES,Thyone okeni,Thyone okeni,Animalia,Echinodermata,Holothuroidea,Dendrochirotida,Phyllophoridae,Thyone,Thyone okeni,"Thyone okeni Bell, 1884",Thyone okeni,ACCEPTED,100,EXACT,2019-02-04T16:35:22Z
2335614,SPECIES,Thysanophrys cirronasa,Thysanophrys cirronasa,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Platycephalidae,Thysanophrys,Thysanophrys cirronasa,"Thysanophrys cirronasa (Richardson, 1848)",Thysanophrys cirronasa,ACCEPTED,100,EXACT,2019-02-04T16:35:22Z
2335614,SPECIES,Thysanophrys cirronasa,Thysanophrys cirronasus,Animalia,Chordata,Actinopterygii,Scorpaeniformes,Platycephalidae,Thysanophrys,Thysanophrys cirronasa,"Thysanophrys cirronasa (Richardson, 1848)",Thysanophrys cirronasa,ACCEPTED,97,FUZZY,2019-02-04T16:35:23Z
2381209,SPECIES,Tilodon sexfasciatus,Tilodon sexfasciatus,Animalia,Chordata,Actinopterygii,Perciformes,Kyphosidae,Tilodon,Tilodon sexfasciatus,"Tilodon sexfasciatus (Richardson, 1842)",Tilodon sexfasciatus,ACCEPTED,100,EXACT,2019-02-04T16:35:23Z
2407280,SPECIES,Torquigener pleurogramma,Torquigener pleurogramma,Animalia,Chordata,Actinopterygii,Tetraodontiformes,Tetraodontidae,Torquigener,Torquigener pleurogramma,"Torquigener pleurogramma (Regan, 1903)",Torquigener pleurogramma,ACCEPTED,100,EXACT,2019-02-04T16:35:24Z
2271555,SPECIES,Tosia australis,Tosia australis,Animalia,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Tosia,Tosia australis,"Tosia australis Gray, 1840",Tosia australis,ACCEPTED,100,EXACT,2019-02-04T16:35:24Z
2271544,SPECIES,Tosia magnifica,Tosia magnifica,Animalia,Echinodermata,Asteroidea,Valvatida,Goniasteridae,Tosia,Tosia magnifica,"Tosia magnifica (Müller & Troschel, 1842)",Tosia magnifica,ACCEPTED,100,EXACT,2019-02-04T16:35:25Z
2357078,SPECIES,Trachichthys australis,Trachichthys australis,Animalia,Chordata,Actinopterygii,Beryciformes,Trachichthyidae,Trachichthys,Trachichthys australis,"Trachichthys australis Shaw, 1799",Trachichthys australis,ACCEPTED,100,EXACT,2019-02-04T16:35:25Z
2389723,SPECIES,Trachinops caudimaculatus,Trachinops caudimaculatus,Animalia,Chordata,Actinopterygii,Perciformes,Plesiopidae,Trachinops,Trachinops caudimaculatus,"Trachinops caudimaculatus McCoy, 1890",Trachinops caudimaculatus,ACCEPTED,100,EXACT,2019-02-04T16:35:25Z
2389722,SPECIES,Trachinops noarlungae,Trachinops noarlungae,Animalia,Chordata,Actinopterygii,Perciformes,Plesiopidae,Trachinops,Trachinops noarlungae,"Trachinops noarlungae Glover, 1974",Trachinops noarlungae,ACCEPTED,100,EXACT,2019-02-04T16:35:26Z
5210479,SPECIES,Trachurus novaezelandiae,Trachurus novaezelandiae,Animalia,Chordata,Actinopterygii,Perciformes,Carangidae,Trachurus,Trachurus novaezelandiae,"Trachurus novaezelandiae Richardson, 1843",Trachurus novaezelandiae,ACCEPTED,100,EXACT,2019-02-04T16:35:26Z
2393102,SPECIES,Trianectes bucephalus,Trianectes bucephalus,Animalia,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Trianectes,Trianectes bucephalus,"Trianectes bucephalus McCulloch & Waite, 1918",Trianectes bucephalus,ACCEPTED,100,EXACT,2019-02-04T16:35:27Z
2392721,SPECIES,Trinorfolkia clarkei,Trinorfolkia clarkei,Animalia,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Trinorfolkia,Trinorfolkia clarkei,"Trinorfolkia clarkei (Morton, 1888)",Trinorfolkia clarkei,ACCEPTED,100,EXACT,2019-02-04T16:35:27Z
2392719,SPECIES,Trinorfolkia cristata,Trinorfolkia cristata,Animalia,Chordata,Actinopterygii,Perciformes,Tripterygiidae,Trinorfolkia,Trinorfolkia cristata,"Trinorfolkia cristata (Kuiter, 1986)",Trinorfolkia cristata,ACCEPTED,100,EXACT,2019-02-04T16:35:28Z
1,KINGDOM,Animalia,Tripterygiid spp.,Animalia,NA,NA,NA,NA,NA,NA,Animalia,Animalia,ACCEPTED,99,HIGHERRANK,2019-02-04T16:35:28Z
2419095,SPECIES,Trygonorrhina fasciata,Trygonorrhina fasciata,Animalia,Chordata,Elasmobranchii,Rhinopristiformes,Rhinobatidae,Trygonorrhina,Trygonorrhina fasciata,"Trygonorrhina fasciata Müller & Henle, 1841",Trygonorrhina fasciata,ACCEPTED,100,EXACT,2019-02-04T16:35:29Z
4614753,SPECIES,Turbo jourdani,Turbo jourdani,Animalia,Mollusca,Gastropoda,Trochida,Turbinidae,Turbo,Turbo jourdani,"Turbo jourdani Kiener, 1839",Turbo jourdani,ACCEPTED,100,EXACT,2019-02-04T16:35:29Z
5859931,SPECIES,Lunella torquata,Turbo torquatus,Animalia,Mollusca,Gastropoda,Trochida,Turbinidae,Lunella,Lunella torquata,"Lunella torquata (Gmelin, 1791)",Lunella torquata,ACCEPTED,NA,Synonym,2019-02-04T16:35:30Z
5859934,SPECIES,Lunella undulata,Turbo undulatus,Animalia,Mollusca,Gastropoda,Trochida,Turbinidae,Lunella,Lunella undulata,"Lunella undulata (Lightfoot, 1786)",Lunella undulata,ACCEPTED,NA,Synonym,2019-02-04T16:35:31Z
4607209,SPECIES,Tylodina corticalis,Tylodina corticalis,Animalia,Mollusca,Gastropoda,Umbraculida,Tylodinidae,Tylodina,Tylodina corticalis,"Tylodina corticalis (Tate, 1889)",Tylodina corticalis,ACCEPTED,100,EXACT,2019-02-04T16:35:31Z
1,KINGDOM,Animalia,Unidentified crab,Animalia,NA,NA,NA,NA,NA,NA,Animalia,Animalia,ACCEPTED,99,HIGHERRANK,2019-02-04T16:35:32Z
1,KINGDOM,Animalia,Unidentified crab (decorator),Animalia,NA,NA,NA,NA,NA,NA,Animalia,Animalia,ACCEPTED,99,HIGHERRANK,2019-02-04T16:35:32Z
1,KINGDOM,Animalia,Unidentified fish,Animalia,NA,NA,NA,NA,NA,NA,Animalia,Animalia,ACCEPTED,99,HIGHERRANK,2019-02-04T16:35:33Z
1,KINGDOM,Animalia,Unidentified fish (cryptic),Animalia,NA,NA,NA,NA,NA,NA,Animalia,Animalia,ACCEPTED,99,HIGHERRANK,2019-02-04T16:35:33Z
1,KINGDOM,Animalia,Unidentified nudibranch,Animalia,NA,NA,NA,NA,NA,NA,Animalia,Animalia,ACCEPTED,99,HIGHERRANK,2019-02-04T16:35:34Z
2274334,SPECIES,Uniophora granifera,Uniophora granifera,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Uniophora,Uniophora granifera,"Uniophora granifera (Lamarck, 1816)",Uniophora granifera,ACCEPTED,100,EXACT,2019-02-04T16:35:34Z
2274346,SPECIES,Uniophora nuda,Uniophora nuda,Animalia,Echinodermata,Asteroidea,Forcipulatida,Asteriidae,Uniophora,Uniophora nuda,"Uniophora nuda (Perrier, 1875)",Uniophora nuda,ACCEPTED,100,EXACT,2019-02-04T16:35:34Z
2396829,SPECIES,Upeneichthys vlamingii,Upeneichthys vlamingii,Animalia,Chordata,Actinopterygii,Perciformes,Mullidae,Upeneichthys,Upeneichthys vlamingii,"Upeneichthys vlamingii (Cuvier, 1829)",Upeneichthys vlamingii,ACCEPTED,100,EXACT,2019-02-04T16:35:35Z
2419402,SPECIES,Urolophus gigas,Urolophus gigas,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Urolophidae,Urolophus,Urolophus gigas,"Urolophus gigas Scott, 1954",Urolophus gigas,ACCEPTED,100,EXACT,2019-02-04T16:35:35Z
2419404,SPECIES,Urolophus orarius,Urolophus orarius,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Urolophidae,Urolophus,Urolophus orarius,"Urolophus orarius Last & Gomon, 1987",Urolophus orarius,ACCEPTED,100,EXACT,2019-02-04T16:35:36Z
5211548,SPECIES,Vincentia conspersa,Vincentia conspersa,Animalia,Chordata,Actinopterygii,Perciformes,Apogonidae,Vincentia,Vincentia conspersa,"Vincentia conspersa (Klunzinger, 1872)",Vincentia conspersa,ACCEPTED,100,EXACT,2019-02-04T16:35:36Z
4360971,SPECIES,Zoila friendii,Zoila friendii,Animalia,Mollusca,Gastropoda,Littorinimorpha,Cypraeidae,Zoila,Zoila friendii,"Zoila friendii (J.E.Gray, 1831)",Zoila friendii,ACCEPTED,100,EXACT,2019-02-04T16:35:37Z
