OpCode,MonType,Bottom Temp,TimeIn,BruvType,UNIQUE_ID
RHCO02_1512,Core,19.8,9:10:00 AM,Stereo,153
RHCO03_1512,Core,19.8,9:16:00 AM,Stereo,153
RHCO04_1512,Core,19.8,9:24:00 AM,Stereo,153
RHNO01_1512,Core,19.7,3:16:00 PM,Stereo,153
RHNO02_1512,Core,19.7,2:10:00 PM,Stereo,153
RHNO03_1512,Core,19.7,2:03:00 PM,Stereo,153
RHNO04_1512,Core,19.7,1:57:00 PM,Stereo,153
RHSO01_1512,Core,19.6,10:48:00 AM,Stereo,153
RHSO02_1512,Core,19.6,10:58:00 AM,Stereo,153
RHSO03_1512,Core,19.6,1:26:00 PM,Stereo,153
RHSO04_1512,Core,19.6,9:22:00 AM,Stereo,153
BSCI01_1605,Core,15,11:53:00 AM,Stereo,71
BSCI02_1605,Core,15,11:56:00 AM,Stereo,71
BSCI03_1605,Core,15,12:17:00 PM,Stereo,71
BSCI04_1605,Core,15,12:25:00 PM,Stereo,71
BSEI01_1605,Core,15,9:33:00 AM,Stereo,71
BSEI02_1605,Core,15,9:29:00 AM,Stereo,71
BSEI03_1605,Core,15,9:18:00 AM,Stereo,71
BSEI04_1605,Core,15,9:24:00 AM,Stereo,71
BSWI01_1605,Core,15,1:49:00 PM,Stereo,71
BSWI02_1605,Core,15,1:46:00 PM,Stereo,71
BSWI03_1605,Core,15,1:22:00 PM,Stereo,71
BSWI04_1605,Core,15,1:20:00 PM,Stereo,71
BSCO01_1605,Core,15,11:25:00 AM,Stereo,153
BSCO02_1605,Core,15,11:21:00 AM,Stereo,153
BSCO03_1605,Core,15,11:16:00 AM,Stereo,153
BSCO04_1605,Core,15,11:12:00 AM,Stereo,153
BSEO01_1605,Core,17,1:17:00 PM,Stereo,153
BSEO02_1605,Core,17,1:12:00 PM,Stereo,153
BSEO03_1605,Core,17,1:08:00 PM,Stereo,153
BSEO04_1605,Core,17,1:05:00 PM,Stereo,153
BSWO01_1605,Core,16,9:24:00 AM,Stereo,153
BSWO02_1605,Core,16,9:29:00 AM,Stereo,153
BSWO03_1605,Core,16,9:35:00 AM,Stereo,153
BSWO04_1605,Core,16,9:43:00 AM,Stereo,153
WCCO01_1605,Core,15,12:52:00 PM,Stereo,153
WCCO02_1605,Core,15,12:49:00 PM,Stereo,153
WCCO03_1605,Core,15,12:54:00 PM,Stereo,153
WCCO04_1605,Core,15,12:57:00 PM,Stereo,153
WCNO01_1605,Core,15,11:15:00 AM,Stereo,153
WCNO02_1605,Core,15,11:18:00 AM,Stereo,153
WCNO03_1605,Core,15,11:23:00 AM,Stereo,153
WCNO04_1605,Core,15,11:21:00 AM,Stereo,153
WCSO01_1605,Core,NA,2:27:00 PM,Stereo,153
WCSO02_1605,Core,NA,2:29:00 PM,Stereo,153
WCSO03_1605,Core,NA,2:32:00 PM,Stereo,153
