OBJECTID,MPNAME,RESTYPE,RES_NUM,ZONE_TYPE,ZONE_CODE,MPZoneID,ZONE_TYPCODE,ZONE_TIME,ZONE_NAME,SHAPEAREA,SHAPELEN
58,Sir Joseph Banks Group,MP,6,HPZ,1,131,HPZ-1,All Year,NA,16380973.9778155,19695.2934754771
59,Sir Joseph Banks Group,MP,6,SZ,2,34,SZ-2,All Year,Second Creek,1623440.494239,5285.310881706951
60,Southern Spencer Gulf,MP,12,RAZ,1,93,RAZ-1,All Year,NA,351774.991091,15716.361512678901
61,Sir Joseph Banks Group,MP,6,SZ,3,35,SZ-3,All Year,Point Bolingbroke,29727823.979919,27463.2301574452
62,Sir Joseph Banks Group,MP,6,GMUZ,1,180,GMUZ-1,All Year,NA,215360080.236634,65431.6727937368
63,Sir Joseph Banks Group,MP,6,SZ,1,33,SZ-1,All Year,Salt Creek,104789446.538464,58328.5817426896
64,Sir Joseph Banks Group,MP,6,RAZ_L,1,88,RAZ-1,All Year,NA,29149.4325695,771.441228020511
65,Sir Joseph Banks Group,MP,6,SZ,5,37,SZ-5,All Year,Dangerous Reef,30070929.0486365,22718.3175116282
66,Southern Spencer Gulf,MP,12,RAZ_L,1,95,RAZ-1,All Year,NA,37722.5090915,1270.0607226754
67,Southern Spencer Gulf,MP,12,RAZ,1,95,RAZ-1,All Year,NA,70323.5344965,2915.0211392169
68,Neptune Islands Group,MP,7,HPZ,1,133,HPZ-1,All Year,NA,37247074.24606,54696.267596338905
69,Lower South East,MP,19,GMUZ,1,206,GMUZ-1,All Year,NA,130984206.504515,56728.475671881104
70,Neptune Islands Group,MP,7,SZ,1,38,SZ-1,All Year,North Neptune Islands,34296155.4653565,32958.815843186
71,Gambier Islands Group,MP,8,HPZ,1,135,HPZ-1,All Year,NA,119561808.797919,60339.0027993132
88,Lower South East,MP,19,GMUZ,2,207,GMUZ-2,All Year,NA,45732128.7523235,29294.835542227203
89,Encounter,MP,15,RAZ_L,3,100,RAZ-3,All Year,NA,56596.744424,1011.87368168037
90,Encounter,MP,15,GMUZ,4,200,GMUZ-4,All Year,NA,2535504.193682,6438.0226248341605
91,Western Kangaroo Island,MP,16,RAZ_L,3,105,RAZ-3,All Year,NA,7610.036089,1162.86889739506
92,Upper South East,MP,18,HPZ,4,162,HPZ-4,All Year,NA,38564590.052329,28503.8067019072
93,Encounter,MP,15,SZ,2,65,SZ-2,All Year,Port Noarlunga Reef,7312185.856084,11883.021258046401
100,Upper South East,MP,18,HPZ,3,161,HPZ-3,All Year,NA,93096992.691036,41052.810225042194
101,Lower South East,MP,19,HPZ,1,163,HPZ-1,All Year,NA,41855778.3365815,29926.3685389597
102,Western Kangaroo Island,MP,16,RAZ_L,1,102,RAZ-1,All Year,NA,56283.887477,1243.27296644139
103,Southern Kangaroo Island,MP,17,HPZ,1,157,HPZ-1,All Year,NA,372931854.566069,140674.669889668
104,Southern Kangaroo Island,MP,17,SZ,1,78,SZ-1,All Year,Seal Bay,76636622.670755,53951.0688035597
105,Upper South East,MP,18,GMUZ,1,204,GMUZ-1,All Year,NA,265511867.673001,105898.719822821
106,Upper South East,MP,18,GMUZ,2,205,GMUZ-2,All Year,NA,142990092.639623,69027.1717512261
107,Encounter,MP,15,SZ,11,74,SZ-11,All Year,The Pages,41992554.2500365,27128.349400911
94,Encounter,MP,15,HPZ,1,148,HPZ-1,All Year,NA,93461382.212791,52744.3330222027
95,Neptune Islands Group,MP,7,RAZ_L,2,92,RAZ-2,All Year,NA,600384.4548355,4519.24952155518
