sr,GSiteID,SurveyID,TransectID,LocalBlock,SurveyDate,SiteName,Subregion,Sanctuary,tax,time
3,1,9,33,1,2017-03-07T00:00:00Z,Carrickalinga South Bay,4,Outside,Invert,9504e3
15,1,10,34,1,2018-03-07T00:00:00Z,Carrickalinga South Bay,4,Outside,Fish,4104e4
7,1,10,34,1,2018-03-07T00:00:00Z,Carrickalinga South Bay,4,Outside,Invert,4104e4
18,1,10,35,1,2018-03-07T00:00:00Z,Carrickalinga South Bay,4,Outside,Fish,4104e4
4,1,10,35,1,2018-03-07T00:00:00Z,Carrickalinga South Bay,4,Outside,Invert,4104e4
19,1,10,36,1,2018-03-07T00:00:00Z,Carrickalinga South Bay,4,Outside,Fish,4104e4
2,1,10,36,1,2018-03-07T00:00:00Z,Carrickalinga South Bay,4,Outside,Invert,4104e4
16,1,10,37,1,2018-03-07T00:00:00Z,Carrickalinga South Bay,4,Outside,Fish,4104e4
3,1,10,37,1,2018-03-07T00:00:00Z,Carrickalinga South Bay,4,Outside,Invert,4104e4
22,3,18,61,1,2005-03-08T00:00:00Z,Carrickalinga Head,4,Inside,Fish,-369100800
5,3,18,61,1,2005-03-08T00:00:00Z,Carrickalinga Head,4,Inside,Invert,-369100800
18,3,18,62,1,2005-03-08T00:00:00Z,Carrickalinga Head,4,Inside,Fish,-369100800
5,3,18,62,1,2005-03-08T00:00:00Z,Carrickalinga Head,4,Inside,Invert,-369100800
20,3,18,63,1,2005-03-08T00:00:00Z,Carrickalinga Head,4,Inside,Fish,-369100800
6,3,18,63,1,2005-03-08T00:00:00Z,Carrickalinga Head,4,Inside,Invert,-369100800
25,3,18,64,1,2005-03-08T00:00:00Z,Carrickalinga Head,4,Inside,Fish,-369100800
7,3,18,64,1,2005-03-08T00:00:00Z,Carrickalinga Head,4,Inside,Invert,-369100800
22,3,19,65,1,2006-03-20T00:00:00Z,Carrickalinga Head,4,Inside,Fish,-336528e3
9,3,19,65,1,2006-03-20T00:00:00Z,Carrickalinga Head,4,Inside,Invert,-336528e3
21,3,19,66,1,2006-03-20T00:00:00Z,Carrickalinga Head,4,Inside,Fish,-336528e3
7,3,19,66,1,2006-03-20T00:00:00Z,Carrickalinga Head,4,Inside,Invert,-336528e3
24,3,19,67,1,2006-03-20T00:00:00Z,Carrickalinga Head,4,Inside,Fish,-336528e3
9,3,19,67,1,2006-03-20T00:00:00Z,Carrickalinga Head,4,Inside,Invert,-336528e3
27,3,19,68,1,2006-03-20T00:00:00Z,Carrickalinga Head,4,Inside,Fish,-336528e3
7,3,19,68,1,2006-03-20T00:00:00Z,Carrickalinga Head,4,Inside,Invert,-336528e3
