Family,Genus,Species,SpeciesName
Pinguipedidae,Parapercis,haackei,Parapercis haackei
Pinguipedidae,Parapercis,ramsayi,Parapercis ramsayi
Platycephalidae,Platycephalus,sp,Platycephalus sp
Platycephalidae,Platycephalus,speculator,Platycephalus speculator
Plesiopidae,Paraplesiops,meleagris,Paraplesiops meleagris
Plesiopidae,Trachinops,noarlungae,Trachinops noarlungae
Pomacentridae,Parma,victoriae,Parma victoriae
Portunidae,Nectocarcinus,integrifrons,Nectocarcinus integrifrons
Rhinobatidae,Aptychotrema,vincentiana,Aptychotrema vincentiana
Rhinobatidae,Trygonorrhina,dumerilii,Trygonorrhina dumerilii
Scorpididae,Neatypus,obliquus,Neatypus obliquus
Scorpididae,Scorpis,aequipinnis,Scorpis aequipinnis
Scorpididae,Scorpis,georgiana,Scorpis georgiana
Scorpididae,Tilodon,sexfasciatus,Tilodon sexfasciatus
Scyliorhinidae,Asymbolus,sp,Asymbolus sp
Scyliorhinidae,Asymbolus,vincenti,Asymbolus vincenti
Sepiidae,Sepia,apama,Sepia apama
Serranidae,Caesioperca,rasor,Caesioperca rasor
Serranidae,Hypoplectrodes,nigroruber,Hypoplectrodes nigroruber
Serranidae,Othos,dentex,Othos dentex
Sillaginidae,NA,sp, sp
Sillaginidae,Sillaginodes,punctatus,Sillaginodes punctatus
Sillaginidae,Sillago,bassensis,Sillago bassensis
Sillaginidae,Sillago,sp,Sillago sp
Sparidae,Pagrus,auratus,Pagrus auratus
Sphyraenidae,Sphyraena,forsteri,Sphyraena forsteri
Sphyraenidae,Sphyraena,novaehollandiae,Sphyraena novaehollandiae
Syngnathidae,Hippocampus,sp,Hippocampus sp
Terapontidae,Pelates,octolineatus,Pelates octolineatus
Tetraodontidae,Omegophora,armilla,Omegophora armilla
Tetraodontidae,Omegophora,cyanopunctata,Omegophora cyanopunctata
Tetrarogidae,Tetrarogidae,sp,Tetrarogidae sp
Triakidae,Galeorhinus,galeus,Galeorhinus galeus
Triakidae,Mustelus,antarcticus,Mustelus antarcticus
Tripterygiidae,Helcogramma,decurrens,Helcogramma decurrens
Urolophidae,Urolophus,sp,Urolophus sp
